Fiscal Years,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NCI,6474,7072,7753,8358,8868,8823,8646,8209,7916,7614,7610,7585,7309,7236,6732,6749,6655,6846,7254,7432,7495,7191,7302,7718,7568,7224
NHLBI,3967,4330,4747,5142,5395,5359,5270,5004,4823,4632,4618,4603,4435,4393,4087,4097,4025,4089,4114,4219,4264,4048,4080,4252,4188,3982
NIDCR,518,574,632,685,718,714,702,667,643,618,617,614,592,586,545,547,534,543,544,559,564,533,539,560,545,520
NIDDK,2259,2493,2890,3123,3327,3392,3339,3177,3062,2940,2927,2910,2806,2778,2585,2582,2552,2582,2576,2643,2664,2529,2541,2618,2559,2561
NINDS,1998,2196,2428,2652,2812,2795,2759,2628,2534,2447,2440,2432,2344,2320,2159,2177,2156,2226,2280,2682,2750,2732,2796,2916,2904,2690
NIAID,3473,3837,4217,4732,7158,8013,7890,7561,7289,7224,7202,7161,6901,6406,5960,5976,5935,6246,6288,6588,6789,6561,6754,7060,7085,6562
NICHD,1661,1831,2015,2222,2329,2313,2276,2166,2070,1988,1983,1976,1904,1885,1754,1758,1729,1760,1764,1822,1838,1738,1773,1879,1831,1759
NEI,876,961,1054,1161,1223,1216,1199,1142,1101,1057,1054,1051,1013,1002,933,935,909,930,937,963,972,919,930,965,938,897
NIEHS,831,944,1166,1290,1347,1323,1298,1234,1190,1140,1135,1143,1102,1091,1015,1018,1001,1012,1013,1034,1042,987,998,1033,1044,997
NIA,1319,1465,1622,1784,1919,1908,1885,1792,1728,1660,1655,1650,1590,1574,1465,1605,1609,2099,2626,3216,3771,3959,4341,4712,4620,4508
NIAMS,682,747,819,896,939,933,916,870,839,806,804,801,772,764,711,713,701,711,713,732,738,698,706,732,720,685
NIDCD,508,563,620,683,715,711,706,674,650,625,624,622,600,594,553,554,544,555,559,574,579,548,555,575,559,534
NIMH,1905,2076,2285,2492,2589,2572,2530,2404,2317,2227,2221,2214,2133,2112,1965,1983,1926,1994,2057,2194,2292,2281,2345,2475,2376,2274
NIDA,1334,1463,1612,1772,1857,1845,1803,1713,1651,1586,1582,1575,1518,1503,1398,1406,1365,1380,1372,1719,1724,1628,2765,1781,1742,1663
NIAAA,575,624,703,767,803,798,785,747,720,691,689,687,662,656,610,611,601,614,618,636,643,2281,2345,2475,625,595